kääne/set,set1,set2,set3,set4,set5,set6
abl,1000,579,0,0,0,0
ad,1000,1000,1000,1000,1000,136
all,1000,1000,1000,127,0,0
el,1000,1000,1000,958,0,0
ill,1000,395,0,0,0,0
in,1000,1000,1000,1000,797,0
adit,1000,773,0,0,0,0
